Date,Symbol,Price,Available Supply,Unlocked Supply,Founder / Team,Private Investors,Public Investors,Reserved,Community & Other
Oct 09 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Oct 09 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Oct 09 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Oct 08 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Oct 08 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Oct 08 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Oct 08 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Oct 07 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Oct 07 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Oct 07 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Oct 06 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Oct 06 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Oct 06 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Oct 06 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Oct 05 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Oct 05 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Oct 05 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Oct 04 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Oct 04 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Oct 04 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Oct 04 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Oct 03 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Oct 03 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Oct 03 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Oct 02 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Oct 02 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Oct 02 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Oct 01 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Oct 01 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Oct 01 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Oct 01 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 30 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 30 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 30 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 29 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 29 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 29 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 29 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 28 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 28 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 28 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 27 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 27 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 27 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 27 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 26 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 26 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 26 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 25 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 25 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 25 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 25 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 24 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 24 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 24 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 23 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 23 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 23 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 22 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 22 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 22 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 22 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 21 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 21 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 21 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 20 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 20 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 20 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 20 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 19 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 19 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 19 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 18 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 18 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 18 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 18 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 17 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 17 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 17 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 16 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 16 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 16 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 16 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 15 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 15 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 15 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 14 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 14 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 14 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 13 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 13 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 13 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 13 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 12 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 12 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 12 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 11 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 11 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 11 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 11 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 10 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 10 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 10 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 09 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 09 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 09 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 09 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 08 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 08 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 08 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 07 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 07 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 07 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 06 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 06 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 06 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 06 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 05 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 05 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 05 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 04 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 04 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 04 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 04 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 03 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 03 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 03 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 02 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 02 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 02 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 02 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 01 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 01 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Sep 01 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Aug 31 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Aug 31 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Aug 31 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Aug 31 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Aug 30 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Aug 30 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Aug 30 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Aug 29 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Aug 29 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Aug 29 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Aug 28 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Aug 28 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Aug 28 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Aug 28 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Aug 27 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Aug 27 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Aug 27 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Aug 26 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Aug 26 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Aug 26 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Aug 26 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Aug 25 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Aug 25 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Aug 25 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Aug 24 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Aug 24 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Aug 24 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Aug 24 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Aug 23 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Aug 23 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Aug 23 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Aug 22 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Aug 22 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Aug 22 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Aug 22 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Aug 21 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Aug 21 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Aug 21 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Aug 20 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Aug 20 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Aug 20 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Aug 19 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Aug 19 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Aug 19 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Aug 19 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Aug 18 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Aug 18 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Aug 18 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Aug 17 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Aug 17 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Aug 17 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Aug 17 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Aug 16 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Aug 16 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Aug 16 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Aug 15 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Aug 15 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
Aug 15 2025,C98,0,1000000000.00,1000000000.00,220000000.00,200000000.00,50000000.00,120000000.00,410000000.00
